county_name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alameda,"5,363","5,509","5,508","5,570","5,593","5,481","5,433","5,482","5,481","5,469"
Alpine,20,17,20,20,19,18,21,20,21,20
Amador,147,156,160,147,147,151,162,159,154,151
Butte,792,778,799,785,776,776,739,754,740,723
Calaveras,133,131,131,142,139,138,159,172,170,165
Colusa,120,121,110,115,112,109,113,116,117,120
Contra Costa,"2,851","2,885","2,814","2,824","2,893","2,997","2,975","2,946","2,871","2,783"
Del Norte,122,118,113,120,111,103,113,117,108,104
El Dorado,613,624,620,623,633,622,618,614,617,606
Fresno,"3,416","3,464","3,588","3,719","3,804","3,956","4,019","3,977","3,976","4,000"
Glenn,110,114,111,110,100,102,111,102,98,100
Humboldt,555,568,550,571,579,572,593,598,585,576
Imperial,644,662,669,669,652,660,634,640,659,667
Inyo,118,131,133,130,112,129,130,131,105,125
Kern,"2,890","2,983","3,011","2,891","2,819","2,838","2,879","2,867","2,891","2,943"
Kings,583,603,596,604,624,627,644,640,624,652
Lake,261,248,256,245,233,174,233,229,220,224
Lassen,141,147,143,146,152,150,140,135,133,122
Los Angeles,"44,443","44,626","44,470","44,799","44,115","44,335","44,181","44,117","42,080","40,708"
Madera,337,336,426,359,368,394,392,409,518,531
Marin,833,828,834,837,835,835,829,829,820,793
Mariposa,90,97,99,98,103,103,105,102,104,111
Mendocino,384,397,393,394,416,413,413,374,368,369
Merced,728,738,704,748,777,796,801,815,838,851
Modoc,43,39,38,45,45,47,48,50,52,51
Mono,88,80,72,68,71,76,78,85,83,83
Monterey,"1,329","1,362","1,350","1,392","1,457","1,427","1,433","1,461","1,438","1,423"
Napa,581,601,569,599,613,611,622,635,605,597
Nevada,328,316,323,322,329,317,326,315,308,308
Orange,"9,784","9,664","9,737","9,759","9,930","9,957","10,012","9,903","9,716","9,689"
Placer,"1,022","1,028","1,039","1,087","1,119","1,129","1,132","1,152","1,143","1,135"
Plumas,77,81,80,87,87,84,89,83,83,72
Riverside,"7,077","7,193","7,315","7,353","7,030","6,837","6,995","7,081","7,126","7,281"
Sacramento,"4,445","4,537","4,638","4,684","4,648","4,643","4,802","4,720","4,663","4,721"
San Benito,105,109,123,131,139,138,151,151,159,161
San Bernardino,"7,053","7,101","7,074","6,893","7,522","7,474","7,463","7,408","7,308","7,440"
San Diego,"10,680","10,978","10,917","10,961","10,851","10,776","10,968","10,887","10,564","10,429"
San Francisco,"4,631","4,624","4,740","4,996","5,101","5,013","4,979","5,077","4,851","4,505"
San Joaquin,"2,093","2,192","2,220","2,289","2,329","2,422","2,492","2,479","2,449","2,371"
San Luis Obispo,"1,073","1,065","1,074","1,083","1,109","1,163","1,177","1,168","1,158","1,170"
San Mateo,"2,100","2,087","2,131","2,134","2,219","2,188","2,169","2,164","2,078","1,993"
Santa Barbara,"1,633","1,630","1,618","1,688","1,669","1,634","1,716","1,730","1,702","1,639"
Santa Clara,"5,862","5,926","5,910","5,966","6,128","6,364","6,430","6,423","6,105","5,958"
Santa Cruz,779,795,793,835,846,861,854,862,836,854
Shasta,572,574,559,552,551,555,560,575,573,590
Sierra,20,21,20,23,19,19,18,20,20,18
Siskiyou,214,219,219,229,222,222,218,205,201,203
Solano,"1,333","1,416","1,444","1,508","1,568","1,536","1,551","1,584","1,571","1,553"
Sonoma,"1,518","1,584","1,565","1,342","1,625","1,612","1,598","1,603","1,568","1,556"
Stanislaus,"1,442","1,462","1,520","1,567","1,664","1,676","1,694","1,677","1,662","1,680"
Sutter,279,284,274,277,281,291,287,288,286,274
Tehama,243,248,252,259,260,265,256,248,228,238
Trinity,74,68,68,68,74,69,77,76,64,65
Tulare,"1,897","1,942","1,960","1,932","1,949","1,977","2,011","2,009","1,797","1,750"
Tuolumne,202,200,202,197,223,223,225,221,225,205
Ventura,"2,799","2,808","2,855","2,787","2,819","2,825","2,832","2,833","2,787","2,808"
Yolo,820,836,824,843,844,856,868,834,792,834
Yuba,309,309,300,305,303,300,302,318,298,312